MetWatch weather data export,,,,,,,
Station ID,Start Date,Stop Date,Radiation Mean,Relative Humidity Mean,Rain Total,Temperature Dry Bulb Mean,Wind Speed Mean
KER,31/12/2007 23:00:00,01/01/2008 00:00:00,-0.17,92.3,0,9.83,0.45
KER,01/01/2008 00:00:00,01/01/2008 01:00:00,-0.03,94.8,0,9.79,0.82
KER,01/01/2008 01:00:00,01/01/2008 02:00:00,0.03,94.6,0,13.55,0.63
KER,01/01/2008 02:00:00,01/01/2008 03:00:00,-0.03,93.9,0,12.94,0.73
KER,01/01/2008 03:00:00,01/01/2008 04:00:00,-0.12,93.2,0,12.94,1.12
KER,01/01/2008 04:00:00,01/01/2008 05:00:00,0.15,93.7,0,11.59,0.94
KER,01/01/2008 05:00:00,01/01/2008 06:00:00,15.41,94.2,0,14.59,1.12
KER,01/01/2008 06:00:00,01/01/2008 07:00:00,105.1,89.4,0,16.73,2.83
KER,01/01/2008 07:00:00,01/01/2008 08:00:00,241.3,81.2,0,19.82,3.64
KER,01/01/2008 08:00:00,01/01/2008 09:00:00,252.89999,75.2,0,23.08,3.4
KER,01/01/2008 09:00:00,01/01/2008 10:00:00,346.70001,74.4,0,23.09,3.79
KER,01/01/2008 10:00:00,01/01/2008 11:00:00,425.39999,75,0,22.95,3.94
KER,01/01/2008 11:00:00,01/01/2008 12:00:00,409,72,0,25.36,3.31
KER,01/01/2008 12:00:00,01/01/2008 13:00:00,187.2,76.6,0,21.19,3.03
KER,01/01/2008 13:00:00,01/01/2008 14:00:00,145.5,80,0,20.28,3.25
KER,01/01/2008 14:00:00,01/01/2008 15:00:00,196.60001,76.7,0,21.65,3.17
KER,01/01/2008 15:00:00,01/01/2008 16:00:00,179.3,75.7,0,21.6,3.77
KER,01/01/2008 16:00:00,01/01/2008 17:00:00,176.60001,74.4,0,21.08,2.98
KER,01/01/2008 17:00:00,01/01/2008 18:00:00,121.5,74.9,0,20.56,2.61
KER,01/01/2008 18:00:00,01/01/2008 19:00:00,45.43,76.2,0,18.8,2.64
KER,01/01/2008 19:00:00,01/01/2008 20:00:00,10.29,81.4,0,15.6,1.53
KER,01/01/2008 20:00:00,01/01/2008 21:00:00,0.07,85.4,0,13.19,0.65
KER,01/01/2008 21:00:00,01/01/2008 22:00:00,-0.14,89.4,0,13.41,0.74
KER,01/01/2008 22:00:00,01/01/2008 23:00:00,-0.2,89.2,0,13.06,0.97
KER,01/01/2008 23:00:00,02/01/2008 00:00:00,0.08,90.2,0,10.9,0.94
KER,02/01/2008 00:00:00,02/01/2008 01:00:00,0.42,93.2,0,10.12,0.84
KER,02/01/2008 01:00:00,02/01/2008 02:00:00,0.21,93.6,0,9.7,1.03
KER,02/01/2008 02:00:00,02/01/2008 03:00:00,0.06,93.4,0,8.81,0.88
KER,02/01/2008 03:00:00,02/01/2008 04:00:00,-0.01,95,0,8.82,1.11
KER,02/01/2008 04:00:00,02/01/2008 05:00:00,0.37,95,0,8.69,1.03
KER,02/01/2008 05:00:00,02/01/2008 06:00:00,10.22,94.9,0,8.45,1.04
KER,02/01/2008 06:00:00,02/01/2008 07:00:00,109.8,92.3,0,13.87,1
KER,02/01/2008 07:00:00,02/01/2008 08:00:00,315.5,78.2,0,17.65,1.47
KER,02/01/2008 08:00:00,02/01/2008 09:00:00,348.70001,68.17,0,24.01,1.63
KER,02/01/2008 09:00:00,02/01/2008 10:00:00,429.39999,64.71,0,24.8,2.02
KER,02/01/2008 10:00:00,02/01/2008 11:00:00,614.20001,62.98,0,27.23,1.96
KER,02/01/2008 11:00:00,02/01/2008 12:00:00,645.79999,61.95,0,27.93,1.91
KER,02/01/2008 12:00:00,02/01/2008 13:00:00,670.29999,59.82,0,30.32,2.17
KER,02/01/2008 13:00:00,02/01/2008 14:00:00,730,59.18,0,30.26,2.26
KER,02/01/2008 14:00:00,02/01/2008 15:00:00,867,57.54,0,31,1.96
KER,02/01/2008 15:00:00,02/01/2008 16:00:00,781,56.08,0,31.42,2.08
KER,02/01/2008 16:00:00,02/01/2008 17:00:00,591.59998,58.15,0,27.51,1.96
KER,02/01/2008 17:00:00,02/01/2008 18:00:00,399.20001,61.07,0,18.89,1.62
KER,02/01/2008 18:00:00,02/01/2008 19:00:00,192.10001,66.67,0,16.25,1.02
KER,02/01/2008 19:00:00,02/01/2008 20:00:00,27.84,73.6,0,12.33,0.37
KER,02/01/2008 20:00:00,02/01/2008 21:00:00,-0.06,83.9,0,10.59,0.35
KER,02/01/2008 21:00:00,02/01/2008 22:00:00,0.31,89.8,0,9.68,0.93
KER,02/01/2008 22:00:00,02/01/2008 23:00:00,-0.18,92.9,0,8.99,1.03
KER,02/01/2008 23:00:00,03/01/2008 00:00:00,0.05,94.1,0,8.64,1.03
KER,03/01/2008 00:00:00,03/01/2008 01:00:00,-0.21,94.9,0,8.64,0.94
KER,03/01/2008 01:00:00,03/01/2008 02:00:00,-0.09,95.2,0,8.23,0.96
KER,03/01/2008 02:00:00,03/01/2008 03:00:00,-0.07,94.8,0,7.56,0.8
KER,03/01/2008 03:00:00,03/01/2008 04:00:00,-0.2,95.2,0,7.41,0.88
KER,03/01/2008 04:00:00,03/01/2008 05:00:00,0,96.1,0,7.43,0.74
KER,03/01/2008 05:00:00,03/01/2008 06:00:00,24.85,96.2,0,8.04,0.74
KER,03/01/2008 06:00:00,03/01/2008 07:00:00,148.89999,96.5,0,9.3,0.59
KER,03/01/2008 07:00:00,03/01/2008 08:00:00,335.20001,84.9,0,16.72,0.79
KER,03/01/2008 08:00:00,03/01/2008 09:00:00,480.60001,72.4,0,24.66,1.31
KER,03/01/2008 09:00:00,03/01/2008 10:00:00,699.40002,64.99,0,29.6,1.57
KER,03/01/2008 10:00:00,03/01/2008 11:00:00,818,59.31,0,30.08,2.11
KER,03/01/2008 11:00:00,03/01/2008 12:00:00,956,53.39,0,33.59,2.42
KER,03/01/2008 12:00:00,03/01/2008 13:00:00,995,51.31,0,34.48,2.35
KER,03/01/2008 13:00:00,03/01/2008 14:00:00,970,50.84,0,33.57,2.17
KER,03/01/2008 14:00:00,03/01/2008 15:00:00,898,49.54,0,32.39,2.21
KER,03/01/2008 15:00:00,03/01/2008 16:00:00,768,50.99,0,31.39,2.65
KER,03/01/2008 16:00:00,03/01/2008 17:00:00,606.70001,53.59,0,28.55,2.69
KER,03/01/2008 17:00:00,03/01/2008 18:00:00,376.5,60.15,0,20.21,2.08
KER,03/01/2008 18:00:00,03/01/2008 19:00:00,133.39999,68.24,0,18.68,1.6
KER,03/01/2008 19:00:00,03/01/2008 20:00:00,12.51,73.1,0,16.74,0.71
KER,03/01/2008 20:00:00,03/01/2008 21:00:00,0.11,80.5,0,12.6,0.35
KER,03/01/2008 21:00:00,03/01/2008 22:00:00,-0.02,87.8,0,11.52,0.8
KER,03/01/2008 22:00:00,03/01/2008 23:00:00,-0.04,91.6,0,11.44,0.87
KER,03/01/2008 23:00:00,04/01/2008 00:00:00,-0.09,92.5,0,10.68,0.86
KER,04/01/2008 00:00:00,04/01/2008 01:00:00,0.2,93.3,0,11.44,0.74
KER,04/01/2008 01:00:00,04/01/2008 02:00:00,0.09,94.4,0,12.87,0.85
KER,04/01/2008 02:00:00,04/01/2008 03:00:00,0.07,92.8,0,11.24,0.68
KER,04/01/2008 03:00:00,04/01/2008 04:00:00,0.21,93.4,0,10.73,0.59
KER,04/01/2008 04:00:00,04/01/2008 05:00:00,0,94.4,0,10.37,0.51
KER,04/01/2008 05:00:00,04/01/2008 06:00:00,12,94.9,0,10.32,0.77
KER,04/01/2008 06:00:00,04/01/2008 07:00:00,77.7,94,0,11.97,0.96
KER,04/01/2008 07:00:00,04/01/2008 08:00:00,208.10001,86.3,0,16.13,0.98
KER,04/01/2008 08:00:00,04/01/2008 09:00:00,267.5,78.9,0,20.1,1.96
