Temp(C),Temp (K),ftmprt,sr,xi,xs,ak1,Inter-S,Inter-E,delt,Portions
10.9,283.9,10.77168017,47652.01373,0.999979015,1.252927768,0.049300818,0.721984262,0.747525437,0,0
9.9,282.9,9.243124779,10333.27737,0.999903235,1.396886181,0.04199133,0.747525437,0.774228389,0,0
10,283,9.396466431,12045.74098,0.99991699,1.381727816,0.04267281,0.774228389,0.799606763,0,0
11.3,284.3,11.38009145,87561.04206,0.99998858,1.19984482,0.052552652,0.799606763,0.820097205,0,0
14.5,287.5,16.18643478,10707283.65,0.999999907,0.852316347,0.087044211,0.820097205,0.822783103,0,0
17.6,290.6,20.74163799,1018541960,0.999999999,0.616363931,0.140421759,0.822783103,0.795740469,0,0
19.6,292.6,23.62925496,18283319083,1,0.501885783,0.190149558,0.795740469,0.744855259,0,0
20.8,293.8,25.34295439,1.01462E+11,1,0.444271688,0.227631026,0.744855259,0.683661873,0,0
21.8,294.8,26.76037992,4.18683E+11,1,0.401649985,0.264155089,0.683661873,0.618194067,0,0
21.6,294.6,26.47766463,3.15576E+11,1,0.409811501,0.256429849,0.618194067,0.571059863,0,0
22,295,27.04271186,5.55265E+11,1,0.393661745,0.272102109,0.571059863,0.528799458,0,0
21.2,294.2,25.9110809,1.79077E+11,1,0.426670437,0.241621284,0.528799458,0.506877826,0,0
20.2,293.2,24.48785812,43146110757,1,0.472141941,0.208086228,0.506877826,0.500352238,0,0
18.3,291.3,21.75681428,2811022915,1,0.573411668,0.156214512,0.500352238,0.510918409,0,0
15.5,288.5,17.66655113,47041988.19,0.999999979,0.767118897,0.101677721,0.510918409,0.535687711,0,0
14.3,287.3,15.88917508,7953917.069,0.999999874,0.870535835,0.084369667,0.535687711,0.562779792,0,0
15,288,16.92777778,22471935.51,0.999999956,0.808522381,0.094089558,0.562779792,0.584847172,0,0
15.2,288.2,17.22359473,30207316.64,0.999999967,0.791682044,0.097057523,0.584847172,0.603978611,0,0
14.6,287.6,16.3349096,12421129.8,0.999999919,0.843359403,0.088411672,0.603978611,0.624234065,0,0
13.3,286.3,14.39664687,1788069.088,0.999999441,0.968073514,0.072133084,0.624234065,0.648162862,0,0
11.9,284.9,12.28950509,217402.3557,0.9999954,1.124663596,0.057817507,0.648162862,0.674931637,0,0
11,284,10.92394366,55489.19866,0.999981979,1.239426653,0.050095254,0.674931637,0.70251353,0,0
10.5,283.5,10.16155203,25888.44549,0.999961374,1.308519026,0.046241864,0.70251353,0.729898312,0,0
9.7,282.7,8.936116024,7601.615155,0.999868466,1.427736686,0.040659456,0.729898312,0.757702949,0,0
10.2,283.2,9.702824859,16363.7673,0.999938893,1.351934027,0.044067626,0.757702949,0.7833207,0,0
9.6,282.6,8.782448691,6518.82022,0.999846622,1.443433244,0.040008761,0.7833207,0.80920964,0,0
9.4,282.4,8.474787535,4792.404441,0.99979138,1.475380236,0.038737117,0.80920964,0.834521744,0,0
10.6,283.6,10.31424542,30159.2036,0.999966844,1.294379285,0.046989128,0.834521744,0.85563023,0,0
15.1,288.1,17.07573759,26055451.92,0.999999962,0.800054982,0.095562534,0.85563023,0.850565187,0,0
17.6,290.6,20.74163799,1018541960,0.999999999,0.616363931,0.140421759,0.850565187,0.819882867,0,0
18.9,291.9,22.6230901,6684719582,1,0.539134489,0.171087873,0.819882867,0.775734487,0,0
20.3,293.3,24.63061712,49766958437,1,0.46737027,0.211228461,0.775734487,0.717018575,0,0
20.6,293.6,25.05831063,76328377543,1,0.453361481,0.220929201,0.717018575,0.664754737,0,0
21.5,294.5,26.33616299,2.73937E+11,1,0.413958483,0.252648549,0.664754737,0.608762171,0,0
19.9,292.9,24.05899624,28098899377,1,0.486771507,0.198925005,0.608762171,0.586756441,0,0
20.3,293.3,24.63061712,49766958437,1,0.46737027,0.211228461,0.586756441,0.564024011,0,0
19.8,292.8,23.91584699,24351200681,1,0.491754912,0.195957769,0.564024011,0.551163504,0,0
18.8,291.8,22.47895819,5787453319,1,0.544692053,0.16851848,0.551163504,0.550159884,0,0
17.4,290.4,20.45068871,761414697.7,0.999999999,0.629256991,0.136197324,0.550159884,0.560231285,0,0
16.5,289.5,19.13644214,204574371.4,0.999999995,0.690940301,0.118643922,0.560231285,0.574854489,0,0
15.9,288.9,18.25572863,84793430.38,0.999999988,0.73562433,0.108165648,0.574854489,0.591336787,0,0
15,288,16.92777778,22471935.51,0.999999956,0.808522381,0.094089558,0.591336787,0.610839783,0,0
13.6,286.6,14.84549895,2801033.329,0.999999643,0.937644128,0.0756136,0.610839783,0.634639507,0,0
11.2,284.2,11.22814919,75218.25181,0.999986706,1.212887046,0.05172099,0.634639507,0.663786782,0,0
10.2,283.2,9.702824859,16363.7673,0.999938893,1.351934027,0.044067626,0.663786782,0.69345333,0,0
10.1,283.1,9.549699753,14040.47842,0.999928782,1.366744478,0.043364857,0.69345333,0.722026491,0,0
11.6,284.6,11.83527758,138037.0743,0.999992756,1.161606538,0.055125032,0.722026491,0.745602569,0,0
10.6,283.6,10.31424542,30159.2036,0.999966844,1.294379285,0.046989128,0.745602569,0.770792644,0,0
9.8,282.8,9.089674682,8863.302189,0.999887188,1.412221739,0.041320263,0.770792644,0.796756551,0,0
9.2,282.2,8.166690291,3521.668953,0.999716124,1.508081093,0.037504173,0.796756551,0.822940124,0,0
9,282,7.858156028,2586.746089,0.999613563,1.541554679,0.036308807,0.822940124,0.848564157,0,0
10.7,283.7,10.46683116,35130.71717,0.999971536,1.280402143,0.047747928,0.848564157,0.868699002,0,0
13.9,286.9,15.29341234,4383737.981,0.999999772,0.908231887,0.079254244,0.868699002,0.871711209,0,0
16.4,289.4,18.98991016,176690497.6,0.999999994,0.698181946,0.116832688,0.871711209,0.852576839,0,0
18.4,291.4,21.90144132,3248441948,1,0.567541079,0.158604552,0.852576839,0.810771711,0,0
18.5,291.5,22.04596913,3753554615,1,0.56173456,0.161029481,0.810771711,0.773731662,0,0
