Temp(C),Portions
16.9,3.015012343
16.8,3.015012343
17,3.015012343
17.1,3.015012343
16.8,3.015012343
17.5,3.015012343
19,3.015012343
19.4,3.015012343
20.5,3.015012343
20.5,3.015012343
20.8,3.015012343
20.6,3.015012343
19.2,3.015012343
18.2,3.015012343
17,3.015012343
15.7,3.015012343
14.9,3.015012343
13.6,3.015012343
12.7,3.015012343
11.4,3.015012343
11.4,3.015012343
12.8,3.015012343
13.8,3.015012343
14.4,3.015012343
14.4,3.015012343
14.6,3.015012343
14.5,3.015012343
15.2,3.015012343
17.3,3.015012343
19,3.015012343
19.6,3.015012343
20.9,3.015012343
21.4,3.015012343
20.2,3.015012343
19.9,3.015012343
19.3,3.015012343
18.9,3.015012343
17.7,3.015012343
16.5,3.015012343
16.2,3.015012343
15.9,3.015012343
15.4,3.015012343
14.8,3.015012343
14.5,3.015012343
13.8,3.015012343
12.8,3.015012343
13,3.015012343
13.4,3.015012343
13.9,3.015012343
14.2,3.015012343
13.1,3.015012343
12.8,3.015012343
14.9,3.015012343
17.5,3.015012343
19.4,3.015012343
19.5,3.015012343
19.5,3.015012343
18.9,3.015012343
18,3.015012343
17.7,3.015012343
17,3.015012343
16.4,3.015012343
14.7,3.015012343
13.6,3.015012343
12.7,3.015012343
12,3.015012343
12.2,3.015012343
11.6,3.015012343
11,3.015012343
10.8,3.015012343
11.1,3.015012343
10.5,3.015012343
10.7,3.015012343
10.9,3.015012343
11.4,3.015012343
11.8,3.015012343
13.6,3.015012343
15.4,3.015012343
16.2,3.015012343
16.8,3.015012343
17.2,3.015012343
17.2,3.015012343
17.2,3.015012343
17,3.015012343
16.5,3.015012343
15.6,3.015012343
14.1,3.015012343
12.5,3.015012343
11.8,3.015012343
11.2,3.015012343
10.7,3.015012343
10.2,3.015012343
9.2,3.015012343
9.5,3.015012343
9.7,3.015012343
8.8,3.015012343
8,3.015012343
8.6,4.019083523
8.5,4.019083523
9.2,4.019083523
12.1,4.019083523
14.7,4.019083523
16.9,4.019083523
18.9,4.019083523
20.2,4.019083523
20,4.019083523
19.4,4.019083523
18.9,4.019083523
17.3,4.019083523
15.1,4.019083523
12.5,4.019083523
11,4.019083523
10.2,4.019083523
9.7,4.019083523
9.9,4.019083523
10,4.019083523
9.7,4.019083523
9.8,4.019083523
10.4,4.019083523
10.2,4.019083523
10.7,4.019083523
11,4.019083523
11.2,4.019083523
12,4.019083523
13.2,4.019083523
14.1,4.019083523
16.4,4.019083523
18.3,4.019083523
18.8,4.019083523
18.2,4.019083523
18.8,4.019083523
19,4.019083523
17.9,4.019083523
16.8,4.019083523
15,4.019083523
14.2,4.019083523
14.6,4.019083523
14.6,4.019083523
14.5,4.019083523
14.2,4.019083523
13.6,4.019083523
13.2,4.019083523
13.3,4.019083523
13.7,4.019083523
14,4.019083523
14,4.019083523
13.9,4.019083523
13.8,4.019083523
14.2,4.019083523
16,4.019083523
17,4.019083523
18.4,4.019083523
19.7,4.019083523
20.7,4.019083523
20.5,4.019083523
20.1,4.019083523
19.2,4.019083523
16.8,4.019083523
15.1,4.019083523
13.8,4.019083523
12.3,4.019083523
11.2,4.019083523
11,4.019083523
12,4.019083523
12,4.019083523
10.9,4.019083523
9.7,4.019083523
9.1,4.019083523
8.4,4.019083523
8.6,4.019083523
10.8,4.019083523
10.9,4.019083523
11.8,4.019083523
14.4,4.019083523
16.3,4.019083523
18.3,4.019083523
19.2,4.019083523
20.1,4.019083523
19.5,4.019083523
19.5,4.019083523
18.5,4.019083523
15.9,4.019083523
14,4.019083523
13.4,4.019083523
12,4.019083523
11.1,4.019083523
10.4,4.019083523
11.3,4.019083523
10.1,4.019083523
9.9,4.019083523
11.2,4.019083523
10.5,4.019083523
10.9,4.019083523
12,4.019083523
12.4,4.019083523
12.7,4.019083523
14.8,4.019083523
17.1,4.019083523
18.8,4.019083523
20.4,4.019083523
21.8,4.019083523
21.5,4.019083523
20.9,4.019083523
19.3,4.019083523
18.3,4.019083523
15.5,4.019083523
12.2,4.019083523
10.6,4.019083523
10,4.019083523
9.5,4.019083523
9.1,4.019083523
8.8,4.019083523
8.7,4.019083523
8.4,4.019083523
8,4.019083523
7.7,4.019083523
7.4,4.019083523
7,4.019083523
7,4.019083523
8,4.019083523
11.5,4.019083523
15.6,4.019083523
18.3,4.019083523
18.1,4.019083523
19.1,4.019083523
20.2,4.019083523
20.6,4.019083523
19.7,4.019083523
18,4.019083523
15.8,4.019083523
14.4,4.019083523
12.1,4.019083523
10.8,4.019083523
10.8,4.019083523
10.7,4.019083523
11.4,4.019083523
12,4.019083523
13.3,4.019083523
13.6,4.019083523
14.1,4.019083523
14.6,4.019083523
15.1,4.019083523
15.8,4.019083523
14.8,4.019083523
16,4.019083523
18.1,4.019083523
19.2,4.019083523
20,4.019083523
20.5,4.019083523
21.2,4.019083523
21.3,4.019083523
21,4.019083523
19.4,4.019083523
16.9,4.019083523
15.2,4.019083523
14.3,4.019083523
13.1,4.019083523
11.8,4.019083523
10.8,4.019083523
10.9,4.019083523
11.8,4.019083523
12,4.019083523
12,4.019083523
11.3,4.019083523
9.8,4.019083523
9.1,4.019083523
8.5,4.019083523
9,4.019083523
11.9,4.019083523
15.5,4.019083523
18,4.019083523
20.1,4.019083523
20.6,4.019083523
20.3,4.019083523
20.2,4.019083523
19.1,4.019083523
17.5,4.019083523
15.3,4.019083523
12.6,4.019083523
11.1,4.019083523
10.3,4.019083523
9.7,4.019083523
9.6,4.019083523
9.7,4.019083523
9.2,4.019083523
8.7,4.019083523
8.7,4.019083523
9.8,4.019083523
10.2,4.019083523
10.7,4.019083523
10.2,4.019083523
10.3,4.019083523
11.6,4.019083523
15.2,4.019083523
17.7,4.019083523
19.2,4.019083523
18.7,4.019083523
19.8,4.019083523
20.6,4.019083523
20,4.019083523
17.2,4.019083523
14.7,4.019083523
12.7,4.019083523
10.8,4.019083523
10.1,4.019083523
10,4.019083523
10.2,4.019083523
9.1,4.019083523
8.2,4.019083523
7.4,4.019083523
7,4.019083523
5.8,4.019083523
5.6,4.019083523
5.4,4.019083523
5.2,4.957324683
5.7,4.957324683
10.1,4.957324683
14.1,4.957324683
15.9,4.957324683
17.9,4.957324683
18.8,4.957324683
19,4.957324683
18.6,4.957324683
18.1,4.957324683
16.6,4.957324683
13.8,4.957324683
10.5,4.957324683
9,4.957324683
8.1,4.957324683
7.7,4.957324683
7.4,4.957324683
6.7,4.957324683
6.3,4.957324683
7.1,4.957324683
7.9,4.957324683
8.8,4.957324683
9.6,4.957324683
10,4.957324683
10.3,4.957324683
11.1,4.957324683
12.5,4.957324683
13.7,4.957324683
15.1,4.957324683
17.3,4.957324683
18.4,4.957324683
18.1,4.957324683
17.8,4.957324683
17.2,4.957324683
16.3,4.957324683
14.9,4.957324683
14.8,4.957324683
15.1,4.957324683
15.4,4.957324683
16.6,4.957324683
16.4,4.957324683
16.4,4.957324683
16.5,4.957324683
16.9,4.957324683
17,4.957324683
17.2,4.957324683
17.3,4.957324683
17.4,4.957324683
17.6,4.957324683
17.6,4.957324683
17.8,4.957324683
18.2,4.957324683
18.2,4.957324683
18.4,4.957324683
18.6,4.957324683
18.5,4.957324683
18,4.957324683
17.6,4.957324683
17.5,4.957324683
17.2,4.957324683
17.4,4.957324683
17.8,4.957324683
17.9,4.957324683
17.8,4.957324683
17.8,4.957324683
17.9,4.957324683
18,4.957324683
18,4.957324683
17.8,4.957324683
16.9,4.957324683
15.3,4.957324683
14.3,4.957324683
13.5,4.957324683
12.6,4.957324683
14.2,4.957324683
17.3,4.957324683
18.6,4.957324683
18.7,4.957324683
19.6,4.957324683
20.2,4.957324683
16.2,4.957324683
16.6,4.957324683
15.7,4.957324683
15.1,4.957324683
14.6,4.957324683
13.8,4.957324683
13.4,4.957324683
13.6,4.957324683
13.8,4.957324683
13.4,4.957324683
12.6,4.957324683
12.6,4.957324683
12.7,4.957324683
12.8,4.957324683
12.8,4.957324683
12.2,4.957324683
11.7,4.957324683
11.3,4.957324683
11.6,4.957324683
13.7,4.957324683
15.3,4.957324683
15.1,4.957324683
15.9,4.957324683
15.2,4.957324683
13.7,4.957324683
13,4.957324683
12.5,4.957324683
11.2,4.957324683
9.6,4.957324683
8,4.957324683
6.6,4.957324683
6.7,4.957324683
6.2,5.961833375
5.4,5.961833375
5.1,5.961833375
6.5,5.961833375
7.6,5.961833375
7.9,5.961833375
8,5.961833375
8.1,5.961833375
8.1,5.961833375
8.1,5.961833375
9.2,5.961833375
10.9,5.961833375
12.2,5.961833375
13,5.961833375
14.3,5.961833375
15.4,5.961833375
15,5.961833375
14.9,5.961833375
13.7,5.961833375
11.2,5.961833375
9.2,5.961833375
7.9,5.961833375
